created_at,sensor1,sensor2,sensor3,sensor4,value
2024-02-19T16:04:39+00:00,22,1638,1435,1639,0
2024-02-19T16:04:56+00:00,1641,1706,1640,1844,0
2024-02-19T16:05:25+00:00,1641,1706,1982,1707,0
2024-02-19T16:05:47+00:00,1915,1638,1503,1570,0
2024-02-19T16:06:15+00:00,1846,1706,1982,1775,0
2024-02-19T16:06:36+00:00,1436,2115,1845,1570,0
2024-02-19T16:07:10+00:00,1778,1706,2118,1912,0
2024-02-19T16:07:46+00:00,1368,1706,1503,1775,0
2024-02-19T16:08:01+00:00,1368,1979,1503,1775,0
2024-02-19T16:08:23+00:00,1162,1706,2050,1434,0
2024-02-19T16:08:40+00:00,1573,2115,1640,1844,0
2024-02-19T16:09:09+00:00,1573,2184,2118,1366,0
2024-02-19T16:09:26+00:00,1504,1638,1777,1912,0
2024-02-19T16:09:49+00:00,1710,1433,1572,1502,0
2024-02-19T16:10:13+00:00,1915,1706,1572,1912,0
2024-02-19T16:10:30+00:00,1436,1569,2118,1297,0
2024-02-19T16:10:47+00:00,1504,1638,1572,1844,0
2024-02-19T16:11:03+00:00,1641,1911,1640,1297,0
2024-02-19T16:11:20+00:00,1504,1569,2118,1297,0
2024-02-19T16:11:42+00:00,1846,1365,1435,1912,0
2024-02-19T16:11:58+00:00,1504,1638,1982,1570,0
2024-02-19T16:12:15+00:00,1983,1569,2187,1775,0
2024-02-19T16:12:44+00:00,1915,1638,1435,1707,0
2024-02-19T16:13:05+00:00,1368,1979,1503,1161,0
2024-02-19T16:13:34+00:00,1368,2047,2118,1844,0
2024-02-19T16:14:01+00:00,1368,1638,1640,1297,0
2024-02-19T16:14:24+00:00,1436,2115,2118,1912,0
2024-02-19T16:14:41+00:00,1641,1569,1777,1229,0
2024-02-19T16:14:58+00:00,1504,1433,2118,1844,0
2024-02-19T16:15:15+00:00,1573,1569,1982,1297,0
2024-02-19T16:15:32+00:00,1504,1365,1640,1844,0
2024-02-19T16:15:49+00:00,1915,1569,1503,1434,0
2024-02-19T16:16:22+00:00,1915,1638,2050,454,0
2024-02-19T16:16:39+00:00,1504,1501,1367,1434,0
2024-02-19T16:16:55+00:00,1983,1638,2118,1980,0
2024-02-19T16:17:21+00:00,1436,1911,1435,1707,0
2024-02-19T16:17:45+00:00,1504,1638,2118,1366,0
2024-02-19T16:18:02+00:00,1231,1979,1367,1775,0
2024-02-19T16:18:23+00:00,1436,2047,2118,1775,0
2024-02-19T16:18:53+00:00,1436,1706,1435,1434,0
2024-02-19T16:19:10+00:00,1299,2047,2050,1775,0
2024-02-19T16:19:27+00:00,1504,1638,1572,1366,0
